soubor,spisovka,datum,soud,reference
0044_0Konf1000_938dee91_63a0_476c_a24d_87d97f5cbdce_prevedeno.txt,Konf 44/2010-14,2010-08-05,SupAdmCo,33 Cdo 3519/2007-72
0005_7As__0700043A_prevedeno.txt,7 As 5/2007-43,2007-08-23,SupAdmCo,30 Cdo 1520/2005-143
0011_1Afs_13_20130918142200_prevedeno.txt,1 Afs 11/2013-84,2013-08-22,SupAdmCo,32 Cdo 2801/2007-323
0104_5As__1300032_20150908150032_prevedeno.txt,5 As 104/2013-32,2015-09-08,SupAdmCo,5 Tdo 490/2008-929
0046_1As__0700150A_prevedeno.txt,1 As 46/2007-150,2008-05-14,SupAdmCo,Rc 22 Cdo 572/2003
0067_1As__100_20101111083313_prevedeno.txt,1 As 67/2010-97,2010-11-14,SupAdmCo,22 Cdo 1806/2006-469
0095_4As__140_20140908151724_prevedeno.txt,4 As 95/2014-40,2014-08-21,SupAdmCo,6 Tdo 84/2013-48
0063_0Konf110_20111129085343_prevedeno.txt,Konf 63/2011-5,2011-11-09,SupAdmCo,22 Cdo 3125/2008-52
0162_1Afs_1500050_20151123132211_prevedeno.txt,1 Afs 162/2015-50,2015-11-05,SupAdmCo,29 Cdo 1599/2008-702
0104_5Afs_1600031_20180807154047_20180808112016_prevedeno.txt,5 Afs 104/2016-31,2018-07-17,SupAdmCo,15 Tdo 832/2016-126
0003_4Aps_1000_20110412035038_prevedeno.txt,4 Aps 3/2010-354,2011-03-23,SupAdmCo,22 Cdo 1305/2004-265
0002_3Ads_0300112A_prevedeno.txt,3 Ads 2/2003-112,2005-11-26,SupAdmCo,ve sv?©m rozsudku 30 Cdo 120/98-72
0204_1As__1500033_20160216125602_prevedeno.txt,1 As 204/2015-33,2016-02-10,SupAdmCo,Tdo 347/2012-17
000815Kse_120_20130429150843_prevedeno.txt,15 Kse 8/2012-118,2013-04-09,SupAdmCo,20 Cdo 316/2009-242
0022_1As__120_20120412102427_prevedeno.txt,1 As 22/2012-55,2012-03-13,SupAdmCo,3 Tdo 1053/2010-21
0022_1As__120_20120412102427_prevedeno.txt,1 As 22/2012-55,2012-03-13,SupAdmCo,3 Tdo 1053/2010-21
0243_3Ads_1600053_20170522083858_prevedeno.txt,3 Ads 243/2016-53,2017-05-11,SupAdmCo,26 Cdo 5105/2015
000215Kse_13_20130617134118_prevedeno.txt,15 Kse 2/2013-66,2013-05-27,SupAdmCo,6 Tdo 366/2010
0162_5Azs_1500029_20151014111819_prevedeno.txt,5 Azs 162/2015-29,2015-11-08,SupAdmCo,26 Cdo 643/2001
0024_0Konf1700020_20180503104702_20180504084013_prevedeno.txt,Konf 24/2017-20,2018-04-24,SupAdmCo,30 Cdo 27/2017
0024_0Konf1700020_20180503104702_20180504084013_prevedeno.txt,Konf 24/2017-20,2018-04-24,SupAdmCo,30 Cdo 3035/2017
002311Konf0500014A_prevedeno.txt,Konf23/2005-14,2005-09-13,SupAdmCo,30 Cdo 1183/2004
0102_4Ads_120_20130326092352_prevedeno.txt,4 Ads 102/2012-18,2013-02-27,SupAdmCo,33 Cdo 4053/2010
0027_7As__0500064A_prevedeno.txt,7 As 27/2005-64,2006-01-19,SupAdmCo,25 Cdo 101/2000
0027_7As__0500064A_prevedeno.txt,7 As 27/2005-64,2006-01-19,SupAdmCo,22 Cdo 2480/2000
