soubor,spisovka,datum,soud,reference,soubor2,datum2,soud2
rozhodnuti-30_Cdo_3322_2013.txt,30 Cdo 3322/2013,2015-11-10,SupCo,9 Afs 13/2008,0013_9Afs_0800090A_prevedeno.txt,2009-11-24,SupAdmCo
rozhodnuti-21_Cdo_5525_2016.txt,21 Cdo 5525/2016,2017-05-30,SupCo,Konf 38/2012-32,0038_0Konf120_20130412100357_prevedeno.txt,2013-03-19,SupAdmCo
rozhodnuti-28_Cdo_2275_2012.txt,28 Cdo 2275/2012,2013-03-13,SupCo,5 As 17/2006-91,0017_5As__0600091A_prevedeno.txt,2007-06-29,SupAdmCo
rozhodnuti-29_Cdo_2816_2012.txt,29 Cdo 2816/2012,2012-10-18,SupCo,8 Afs 33/2007,0033_8Afs_0700047A_prevedeno.txt,2008-08-29,SupAdmCo
rozhodnuti-30_Cdo_5555_2016.txt,30 Cdo 5555/2016,2017-05-24,SupCo,1 As 51/2010-214,0051_1As__100_20101104021747_prevedeno.txt,2010-11-13,SupAdmCo
rozhodnuti-29_Cdo_5069_2015.txt,29 Cdo 5069/2015,2016-04-21,SupCo,1 Afs 5/2003,0005_1Afs_0300054A_prevedeno.txt,2004-03-30,SupAdmCo
rozhodnuti-29_Cdo_5069_2015.txt,29 Cdo 5069/2015,2016-04-21,SupCo,7 Ans 15/2012,0008_3Ans_1300001_prevedeno.txt,2012-09-04,SupAdmCo
rozhodnuti-30_Cdo_1401_2013.txt,30 Cdo 1401/2013,2014-05-28,SupCo,Konf 22/2013-7,0022_0Konf130_20140225152847_prevedeno.txt,2014-02-20,SupAdmCo
rozhodnuti-32_Cdo_984_2012.txt,32 Cdo 984/2012,2014-03-24,SupCo,3 Ads 83/2009,0083_3Ads_0900_35dc9427_75f8_470e_bd42_a200dbd977b5_prevedeno.txt,2009-12-15,SupAdmCo
rozhodnuti-32_Cdo_984_2012.txt,32 Cdo 984/2012,2014-03-24,SupCo,6 Ads 160/2012,0160_6Ads_120_20130627143532_prevedeno.txt,2013-05-30,SupAdmCo
rozhodnuti-6_Tdo_948_2018.txt,6 Tdo 948/2018,2018-08-28,SupCo,5 As 38/2004,0038_5As__0400074A_prevedeno.txt,2005-09-15,SupAdmCo
rozhodnuti-28_Cdo_5487_2017.txt,28 Cdo 5487/2017,2018-01-24,SupCo,2 Afs 35/2010-163,0035_2Afs_1000_20101026085744_prevedeno.txt,2010-11-20,SupAdmCo
rozhodnuti-27_Cdo_4479_2017.txt,27 Cdo 4479/2017,2018-09-12,SupCo,3 Ads 119/2010,0119_3Ads_100_20101210095222_prevedeno.txt,2010-12-09,SupAdmCo
rozhodnuti-33_Cdo_2494_2014.txt,33 Cdo 2494/2014,2014-07-22,SupCo,1 As 31/2008-41,0031_1As__0800041A_prevedeno.txt,2008-11-22,SupAdmCo
rozhodnuti-33_Cdo_2494_2014.txt,33 Cdo 2494/2014,2014-07-22,SupCo,1 As 74/2011-251,0072_8As__1200005_prevedeno.txt,2011-08-10,SupAdmCo
rozhodnuti-8_Tdo_951_2012.txt,8 Tdo 951/2012,2012-09-19,SupCo,1 As 16/2012,0016_1As__120_20120308032909_prevedeno.txt,2012-02-29,SupAdmCo
rozhodnuti-7_Td_57_2014.txt,7 Td 57/2014,2014-09-11,SupCo,Nad 79/2004,007911Nad_0400025A_prevedeno.txt,2004-06-08,SupAdmCo
rozhodnuti-22_Cdo_5017_2009.txt,22 Cdo 5017/2009,2010-01-28,SupCo,7 As 16/2006,0016_7As__0600035A_prevedeno.txt,2007-05-31,SupAdmCo
rozhodnuti-5_Tdo_749_2015.txt,5 Tdo 749/2015,2016-07-26,SupCo,2 Afs 83/2010,0083_2Afs_100_20110126020403_prevedeno.txt,2011-01-26,SupAdmCo
rozhodnuti-5_Tdo_749_2015.txt,5 Tdo 749/2015,2016-07-26,SupCo,7 Afs 123/2013,0123_7Afs_130_20140407131711_prevedeno.txt,2014-03-07,SupAdmCo
rozhodnuti-5_Tdo_749_2015.txt,5 Tdo 749/2015,2016-07-26,SupCo,1 Afs 73/2004,0073_1Afs_0400098_20161003141424_prevedeno.txt,2007-07-18,SupAdmCo
rozhodnuti-15_Tdo_832_2016.txt,15 Tdo 832/2016,2017-01-04,SupCo,4 Afs 210/2014,0210_4Afs_1400070_20160113090923_prevedeno.txt,2015-12-16,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,1 As 66/2016-104,0066_1As__1600104_20160519153853_prevedeno.txt,2016-05-11,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,4 As 37/2012-39,0037_4As__1200_20121010035506_prevedeno.txt,2012-09-20,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,Konf 132/2005-7,013211Konf0500007A_prevedeno.txt,2006-06-30,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,Konf 70/2011-16,0070_0Konf110_20120119095344_prevedeno.txt,2011-12-15,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,Konf 30/2014-8,0030_0Konf1400008_20150807130124_prevedeno.txt,2015-07-30,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,Konf 5/2012-11,0005_0Konf120_20120315034134_prevedeno.txt,2012-03-08,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,Konf 55/2012-21,0055_0Konf12_20131212084632_prevedeno.txt,2013-11-14,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,Konf 10/2015-11,0010_0Konf1500011_20160331135308_prevedeno.txt,2016-02-25,SupAdmCo
rozhodnuti-28_Cdo_5101_2017.txt,28 Cdo 5101/2017,2018-06-05,SupCo,9 As 57/2017-44,0057_9As__1700044_20180119071620_20180119102034_prevedeno.txt,2018-01-18,SupAdmCo
rozhodnuti-33_Cdo_1881_2016.txt,33 Cdo 1881/2016,2016-05-24,SupCo,1 As 23/2009,0023_1As__0900103A_prevedeno.txt,2010-09-09,SupAdmCo
rozhodnuti-28_Cdo_3434_2013.txt,28 Cdo 3434/2013,2014-04-01,SupCo,7 As 67/2009,0067_7As__0900_81b9c7ec_af7e_45e6_af7c_2691d6a60762_prevedeno.txt,2009-11-19,SupAdmCo
rozhodnuti-28_Cdo_3434_2013.txt,28 Cdo 3434/2013,2014-04-01,SupCo,6 As 65/2012,0065_6As__120_20130521155800_prevedeno.txt,2013-05-10,SupAdmCo
rozhodnuti-30_Cdo_857_2013.txt,30 Cdo 857/2013,2014-05-21,SupCo,Konf 22/2013-7,0022_0Konf130_20140225152847_prevedeno.txt,2014-02-20,SupAdmCo
rozhodnuti-29_Cdo_3538_2014.txt,29 Cdo 3538/2014,2015-01-22,SupCo,1 As 23/2009,0023_1As__0900103A_prevedeno.txt,2010-09-09,SupAdmCo
rozhodnuti-22_Cdo_3325_2013.txt,22 Cdo 3325/2013,2015-10-27,SupCo,9 Afs 28/2010,0028_9Afs_1000_bcc5e18d_bcd0_44a2_93f0_8a65add41a98_prevedeno.txt,2010-07-15,SupAdmCo
rozhodnuti-32_Cdo_1630_2013.txt,32 Cdo 1630/2013,2015-06-03,SupCo,Konf 132/2005,013211Konf0500007A_prevedeno.txt,2006-06-30,SupAdmCo
rozhodnuti-30_Cdo_3114_2015.txt,30 Cdo 3114/2015,2017-04-26,SupCo,6 As 285/2014,0285_6As__1400032_20150227103625_prevedeno.txt,2015-02-24,SupAdmCo
rozhodnuti-22_Cdo_3653_2008.txt,22 Cdo 3653/2008,2010-08-17,SupCo,6 Ans 2/2007,0002_6Ans_0700128A_prevedeno.txt,2007-11-15,SupAdmCo
rozhodnuti-33_Cdo_414_2011.txt,33 Cdo 414/2011,2012-09-27,SupCo,8 Afs 145/2005,0145_8Afs_0500086A_prevedeno.txt,2006-01-27,SupAdmCo
rozhodnuti-8_Tz_20_2015.txt,8 Tz 20/2015,2015-05-20,SupCo,9 Afs 28/2010,0028_9Afs_1000_bcc5e18d_bcd0_44a2_93f0_8a65add41a98_prevedeno.txt,2010-07-15,SupAdmCo
rozhodnuti-28_Cdo_3097_2010.txt,28 Cdo 3097/2010,2011-06-08,SupCo,1 As 35/2005,0035_1As__0500061A_prevedeno.txt,2006-02-01,SupAdmCo
rozhodnuti-30_Cdo_3755_2015.txt,30 Cdo 3755/2015,2017-06-27,SupCo,7 As 64/2013,0064_7As__130_20140402135743_prevedeno.txt,2014-04-01,SupAdmCo
