ssource_file,docket_number,date,court,reference,source_file2,date2,court2
Pl-72-06_1.txt,Pl. US 72/06,2008-01-29,ConCo,1 Afs 86/2004,0086_1Afs_0400054A_prevedeno.txt,2005-11-26,SupAdmCo
Pl-72-06_1.txt,Pl. US 72/06,2008-01-29,ConCo,2 Afs 81/2004,0081_2Afs_0400054A_prevedeno.txt,2005-11-26,SupAdmCo
4-314-08_1.txt,IV. US 314/08,2008-05-26,ConCo,7 Afs 56/2004-87,0056_7Afs_0400087A_prevedeno.txt,2005-11-27,SupAdmCo
4-1387-08_1.txt,IV. US 1387/08,2010-11-29,ConCo,5 Afs 153/2006-54,0153_5Afs_0600054A_prevedeno.txt,2007-07-31,SupAdmCo
3-928-11_1.txt,III. US 928/11,2011-04-28,ConCo,7 As 55/2007,0055_7As__0700071A_prevedeno.txt,2008-02-14,SupAdmCo
3-928-11_1.txt,III. US 928/11,2011-04-28,ConCo,6 As 58/2004,0058_6As__0400045A_prevedeno.txt,2005-11-27,SupAdmCo
3-928-11_1.txt,III. US 928/11,2011-04-28,ConCo,2 As 73/2009,0073_2As__0900_5a6581f1_67fc_48b4_a60f_c60c2cff919f_prevedeno.txt,2010-06-15,SupAdmCo
3-928-11_1.txt,III. US 928/11,2011-04-28,ConCo,8 Ans 2/2009,0002_8Ans_0900038A_prevedeno.txt,2009-06-19,SupAdmCo
1-1636-11_1.txt,I. US 1636/11,2011-07-14,ConCo,1 Afs 59/2009-105,0059_1Afs_0900105A_prevedeno.txt,2009-11-21,SupAdmCo
3-653-08_2.txt,III. US 653/08,2008-10-23,ConCo,1 Afs 21/2006,0021_1Afs_0600052A_prevedeno.txt,2006-11-19,SupAdmCo
1-3006-12_1.txt,I. US 3006/12,2013-05-23,ConCo,Konf 25/2012-9,0025_0Konf12_20120917073913_prevedeno.txt,2012-09-06,SupAdmCo
1-3006-12_1.txt,I. US 3006/12,2013-05-23,ConCo,9 As 147/2012-66,0147_9As__12_20121210124827_prevedeno.txt,2012-12-06,SupAdmCo
2-2076-11_1.txt,II. US 2076/11,2011-10-18,ConCo,7 Afs 45/2009-104,0045_7Afs_090_20110225095454_prevedeno.txt,2011-01-24,SupAdmCo
