source_file,docket_number,date,court,reference,source_file2,date2,court2
0206_2As__1400010_20141218093421_prevedeno.txt,2 As 206/2014 - 10,2014-12-11,SupAdmCo, I. US 1632/13,1-1632-13_1.txt,2013-06-07,ConCo
022710As__1700053_20180924094552_20180924134019_prevedeno.txt,10 As 227/2017 - 53,2018-09-05,SupAdmCo, III. US 403/98,3-403-98.txt,1999-03-04,ConCo
0080_3Ads_0900_b2e4e4b6_5c0c_4386_bedf_93cb84087da3_prevedeno.txt,3 Ads 80/2009 - 132,2010-09-22,SupAdmCo, III. US 1012/10,3-1012-10_1.txt,2010-08-12,ConCo
0059_8As__1500045_20150709143834_prevedeno.txt,8 As 59/2015 - 45,2015-07-07,SupAdmCo, I. US 3150/13,1-3150-13_1.txt,2013-10-22,ConCo
0059_8As__1500045_20150709143834_prevedeno.txt,8 As 59/2015 - 45,2015-07-07,SupAdmCo, I. US 1131/11,1-1131-11_1.txt,2011-05-11,ConCo
0003_0Komp0800063A_prevedeno.txt,Komp 3/2008 - 63,2008-11-06,SupAdmCo, I. US 3/94,1-3-94.txt,1995-04-25,ConCo
0022_8As__0800150A_prevedeno.txt,Spis 8 As 22/2008 byl spojen se spisem ĭslo 8 As 21/2008 a pod touto spisovou znakou bylo,2009-01-30,SupAdmCo, Pl. US 50/04,Pl-50-04.txt,2006-03-08,ConCo
0009_7As__0600071A_prevedeno.txt,7 As 9/2006 - 71,2007-03-29,SupAdmCo, II. US 536/01,2-536-01.txt,2002-02-19,ConCo
0020_8Afs_0800123A_prevedeno.txt,8 Afs 20/2008 - 123,2008-08-29,SupAdmCo, I. US 437/02,1-437-02_1.txt,2002-07-19,ConCo
0019_2Afs_1200009_prevedeno.txt,5 Afs 178/2006 - 81,2007-02-23,SupAdmCo, Pl. US 54/2000,Pl-54-2000.txt,2001-01-23,ConCo
0157_7Azs_1500046_20150810133452_prevedeno.txt,7 Azs 157/2015 - 46,2015-07-09,SupAdmCo, III. US 84/94,3-84-94.txt,1995-06-20,ConCo
0157_7Azs_1500046_20150810133452_prevedeno.txt,7 Azs 157/2015 - 46,2015-07-09,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0044_6As__1400064_20150511101614_prevedeno.txt,6 As 44/2014 - 64,2015-04-28,SupAdmCo, Pl. US 43/97,Pl-43-97.txt,1998-04-29,ConCo
0044_6As__1400064_20150511101614_prevedeno.txt,6 As 44/2014 - 64,2015-04-28,SupAdmCo, I. US 276/01,1-276-01.txt,2003-03-11,ConCo
0044_6As__1400064_20150511101614_prevedeno.txt,6 As 44/2014 - 64,2015-04-28,SupAdmCo, Pl. US 35/06,Pl-35-06_1.txt,2008-04-22,ConCo
0044_6As__1400064_20150511101614_prevedeno.txt,6 As 44/2014 - 64,2015-04-28,SupAdmCo, Pl. US 46/06,Pl-46-06_1.txt,2008-10-21,ConCo
0089_9Afs_100_20110418014009_prevedeno.txt,9 Afs 89/2010 - 47,2011-04-14,SupAdmCo, I. US 433/01,1-433-01.txt,2003-01-30,ConCo
0089_9Afs_100_20110418014009_prevedeno.txt,9 Afs 89/2010 - 47,2011-04-14,SupAdmCo, IV. US 239/03,4-239-03.txt,2003-11-06,ConCo
0077_1Afs_1500124_20151020103828_prevedeno.txt,1 Afs 77/2015 - 124,2015-11-14,SupAdmCo, I. US 520/06,1-520-06_1.txt,2008-01-23,ConCo
0119_5Afs_1300003_prevedeno.txt,Spis 9 Afs 12/2011 byl spojen se spisem 9 Afs 11/2011 a pod touto spisovou znakou bylo,2011-07-13,SupAdmCo, II. US 664/04,2-664-04.txt,2006-04-18,ConCo
0025_6As__120_20120509043802_prevedeno.txt,6 As 25/2012 - 11,2012-04-11,SupAdmCo, III. US 696/12,3-696-12_2.txt,2012-03-13,ConCo
0007_2Aps_0900_af0baf0f_135a_4257_a3a7_556a4ce9ea9b_prevedeno.txt,2 Aps 7/2009 - 115,2010-02-10,SupAdmCo, I. US 77/97,1-77-97.txt,1998-11-18,ConCo
0007_2Aps_0900_af0baf0f_135a_4257_a3a7_556a4ce9ea9b_prevedeno.txt,2 Aps 7/2009 - 115,2010-02-10,SupAdmCo, I. US 1835/07,1-1835-07_1.txt,2008-11-18,ConCo
0126_1As__1200_20130111134745_prevedeno.txt,Spis 1 As 126/2012 byl spojen se spisem ĭslo 1 As 125/2012 a pod touto spisovou znakou bylo,2012-12-19,SupAdmCo, II. US 65/04,2-65-04.txt,2006-07-31,ConCo
0018_3As__0600130A_prevedeno.txt,3 As 18/2006 - 130,2008-11-30,SupAdmCo, IV. US 1882/07,4-1882-07_2.txt,2008-06-19,ConCo
0030_7Azs_0600051A_prevedeno.txt,7 Azs 30/2006 - 51,2006-05-04,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0068_8Afs_0700366A_prevedeno.txt,8 Afs 68/2007 - 366,2008-06-23,SupAdmCo, Pl. US 33/97,Pl-33-97.txt,1997-12-17,ConCo
0068_8Afs_0700366A_prevedeno.txt,8 Afs 68/2007 - 366,2008-06-23,SupAdmCo, II. US 37/04,2-37-04.txt,2005-06-30,ConCo
0068_8Afs_0700366A_prevedeno.txt,8 Afs 68/2007 - 366,2008-06-23,SupAdmCo, Pl. US 6/05,Pl-6-05.txt,2005-12-13,ConCo
0068_8Afs_0700366A_prevedeno.txt,8 Afs 68/2007 - 366,2008-06-23,SupAdmCo, I. US 437/03,1-437-03.txt,2006-01-12,ConCo
0018_8As__120_20120604082558_prevedeno.txt,8 As 18/2012 - 41,2012-05-30,SupAdmCo, IV. US 1463/09,4-1463-09_1.txt,2010-11-15,ConCo
0077_8As__140_20140606113404_prevedeno.txt,8 As 77/2014 - 9,2014-06-03,SupAdmCo, II. US 3748/12,2-3748-12_1.txt,2012-10-17,ConCo
0077_8As__140_20140606113404_prevedeno.txt,8 As 77/2014 - 9,2014-06-03,SupAdmCo, III. US 3747/12,3-3747-12_1.txt,2012-10-10,ConCo
0077_8As__140_20140606113404_prevedeno.txt,8 As 77/2014 - 9,2014-06-03,SupAdmCo, I. US 1131/11,1-1131-11_1.txt,2011-05-11,ConCo
0050_1Afs_100_20101119110345_prevedeno.txt,1 Afs 50/2010 - 183,2010-11-10,SupAdmCo, II. US 23/03,2-23-03.txt,2003-06-03,ConCo
0084_2Afs_0700087A_prevedeno.txt,2 Afs 84/2007 - 87,2008-01-31,SupAdmCo, Pl. US 38/95,Pl-38-95.txt,1996-04-24,ConCo
0154_2As__1700035_20171025075728_prevedeno.txt,2 As 154/2017 - 35,2017-11-10,SupAdmCo, IV. US 666/02,4-666-02.txt,2003-12-15,ConCo
0039_3As__14_20140526104911_prevedeno.txt,3 As 39/2014 - 22,2014-05-22,SupAdmCo, III. US 84/94,3-84-94.txt,1995-06-20,ConCo
0039_3As__14_20140526104911_prevedeno.txt,3 As 39/2014 - 22,2014-05-22,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0039_8As__1400056_20151126093157_prevedeno.txt,8 As 39/2014 - 56,2015-11-18,SupAdmCo, I. US 1412/11,1-1412-11_1.txt,2012-07-23,ConCo
0039_8As__1400056_20151126093157_prevedeno.txt,8 As 39/2014 - 56,2015-11-18,SupAdmCo, III. US 989/08,3-989-08_1.txt,2009-02-12,ConCo
